token,pos,Abbreviation,dates
Patient,PROPN,,[]
Name,PROPN,,[]
ee,ADP,,[]
Barcode,PROPN,,[]
;,PUNCT,,[]
[,X,,[]
eennnennninittte,NOUN,,[]
Age,NOUN,,[]
:,PUNCT,,[]
Gender,PROPN,,[]
:,PUNCT,,[]
64,NUM,,[]
/,SYM,,[]
Female,PROPN,,[]
Sample,PROPN,,[]
Collected,VERB,,[]
On,ADP,,[]
:,PUNCT,,[]
03,NUM,,[]
/,SYM,,[]
Mar/2022,NOUN,,[]
07:16AM,PROPN,,[]
Order,NOUN,,[]
I,PRON,I2,[]
d,NOUN,,[]
:,PUNCT,,[]
483940780,NUM,,[]
Sample,PROPN,,[]
Received,VERB,,[]
On,ADP,,[]
:,PUNCT,,[]
03,NUM,,[]
/,SYM,,[]
Mar/2022,NOUN,,[]
11:54AM,PROPN,,[]
Referred,VERB,,[]
By,ADP,,[]
:,PUNCT,,[]
Self,PROPN,,[]
Report,PROPN,,[]
Generated,VERB,,[]
On,ADP,,[]
:,PUNCT,,[]
03,NUM,,[]
/,SYM,,[]
Mar/2022,NOUN,,[]
12:57PM,PROPN,,[]
Customer,NOUN,,[]
Since,SCONJ,,[]
:,PUNCT,,[]
03,NUM,,[]
/,SYM,,[]
Mar/2022,NOUN,,[]
Sample,PROPN,,[]
Temperature,NOUN,,[]
:,PUNCT,,[]
Maintained,VERB,,[]
Y,NOUN,,[]
Sample,PROPN,,[]
Type,PROPN,,[]
:,PUNCT,,[]
Whole,PROPN,,[]
Blood,NOUN,,[]
EDTA,PROPN,,[]
Report,PROPN,,[]
Status,PROPN,,[]
:,PUNCT,,[]
Final,PROPN,,[]
Report,PROPN,,[]
DEPARTMENT,PROPN,,[]
OF,ADP,,[]
BIOCHEMISTRY,PROPN,,[]
HBAIC,PROPN,,[]
Test,NOUN,,[]
Name,PROPN,,[]
Value,PROPN,,[]
Unit,PROPN,,[]
Bio,PROPN,,[]
.,PUNCT,,[]
Ref,PROPN,,[]
Interval,PROPN,,[]
HbAlIc,X,,[]
-,PUNCT,,[]
Glycated,ADJ,,[]
Hemoglobin,NOUN,,[]
