token,pos,Abbreviation,dates
13/02/2024,NUM,,"[datetime.datetime(2024, 2, 13, 0, 0)]"
17:17,NUM,,[]
Clinical,ADJ,,[]
notes,NOUN,,[]
:,PUNCT,,[]
?,PUNCT,,[]
HYPERTENSION,PROPN,,[]
?,PUNCT,,[]
ANXIETY,PROPN,,[]
RELATED,PROPN,,[]
/,SYM,,[]
WHITE,PROPN,,[]
COAT,PROPN,,[]
HYPERTENSION,PROPN,,[]
(,PUNCT,,[]
NEEDS,PROPN,,[]
EXCLUDING,VERB,,[]
),PUNCT,,[]
removed,VERB,,[]
Clinical,ADJ,,[]
Notes,NOUN,,[]
:,PUNCT,,[]
?,PUNCT,,[]
HYPERTENSION,PROPN,,[]
?,PUNCT,,[]
ANXIETY,PROPN,,[]
RELATED,PROPN,,[]
/,SYM,,[]
WHITE,PROPN,,[]
COAT,PROPN,,[]
HYPERTENSION,PROPN,,[]
(,PUNCT,,[]
NEEDS,PROPN,,[]
EXCLUDING,VERB,,[]
),PUNCT,,[]
Ambulatory,PROPN,,[]
Blood,PROPN,,[]
Pressure,PROPN,,[]
Monitoring,NOUN,,[]
Start,VERB,,[]
date,NOUN,,[]
and,CCONJ,,[]
time,NOUN,,[]
