token,pos,Abbreviation,dates
18/01/2024,NUM,,"[datetime.datetime(2024, 1, 18, 0, 0)]"
05:13,NUM,,[]
PM,NOUN,,[]
Tests,NOUN,,[]
requested,VERB,,[]
SOM,PROPN,,[]
",",PUNCT,,[]
HOR,PROPN,,[]
",",PUNCT,,[]
AND,CCONJ,,[]
",",PUNCT,,[]
PRL,PROPN,PROLAC,[]
",",PUNCT,,[]
COR,PROPN,,[]
",",PUNCT,,[]
MBA,PROPN,,[]
Clinical,ADJ,,[]
notes,NOUN,,[]
INSULIN,NOUN,,[]
-,PUNCT,,[]
LIKE,ADJ,,[]
GROWTH,NOUN,,[]
FACTOR-1,NOUN,,[]
(,PUNCT,,[]
IGF-1,PROPN,IGF1,[]
),PUNCT,,[]
Specimen,PROPN,,[]
Type,PROPN,,[]
:,PUNCT,,[]
Serum,PROPN,,[]
IGF-1,PROPN,IGF1,[]
(,PUNCT,,[]
Somatomedin,PROPN,,[]
C,PROPN,,[]
),PUNCT,,[]
37,NUM,,[]
nmol,NOUN,,[]
/,SYM,,[]
L,PROPN,,[]
(,PUNCT,,[]
10,NUM,,[]
-,SYM,,[]
32,NUM,,[]
),PUNCT,,[]
Insulin,NOUN,,[]
-,PUNCT,,[]
like,ADJ,,[]
growth,NOUN,,[]
factor,NOUN,,[]
1,NUM,,[]
(,PUNCT,,[]
IGF1,PROPN,,[]
),PUNCT,,[]
and,CCONJ,,[]
insulin,NOUN,,[]
-,PUNCT,,[]
like,ADJ,,[]
growth,NOUN,,[]
factor,NOUN,,[]
-,PUNCT,,[]
binding,VERB,,[]
protein,NOUN,,[]
3,NUM,,[]
(,PUNCT,,[]
IGFBP3,PROPN,,[]
),PUNCT,,[]
measurements,NOUN,,[]
can,AUX,,[]
be,AUX,,[]
used,VERB,,[]
to,PART,,[]
assess,VERB,,[]
growth,NOUN,,[]
hormone,NOUN,,[]
(,PUNCT,,[]
GH,PROPN,,[]
),PUNCT,,[]
excess,NOUN,,[]
or,CCONJ,,[]
deficiency,NOUN,,[]
.,PUNCT,,[]
For,ADP,,[]
all,DET,,[]
applications,NOUN,,[]
",",PUNCT,,[]
IGF1,PROPN,,[]
measurement,PROPN,,[]
has,AUX,,[]
generally,ADV,,[]
been,AUX,,[]
shown,VERB,,[]
to,PART,,[]
have,VERB,,[]
superior,ADJ,,[]
diagnostic,ADJ,,[]
accuracy,NOUN,,[]
.,PUNCT,,[]
In,ADP,,[]
particular,ADJ,,[]
",",PUNCT,,[]
for,ADP,,[]
the,DET,,[]
diagnosis,NOUN,,[]
and,CCONJ,,[]
follow,NOUN,,[]
-,PUNCT,,[]
up,NOUN,,[]
of,ADP,,[]
acromegaly,PROPN,,[]
and,CCONJ,,[]
gigantism,NOUN,,[]
",",PUNCT,,[]
IGFBP3,PROPN,,[]
measurement,NOUN,,[]
adds,VERB,,[]
little,ADJ,,[]
extra,ADJ,,[]
diagnostic,ADJ,,[]
information,NOUN,,[]
.,PUNCT,,[]
Elevated,PROPN,,[]
IGF1,PROPN,,[]
levels,NOUN,,[]
support,VERB,,[]
the,DET,,[]
diagnosis,NOUN,,[]
of,ADP,,[]
acromegaly,PROPN,,[]
or,CCONJ,,[]
gigantism,NOUN,,[]
in,ADP,,[]
individuals,NOUN,,[]
with,ADP,,[]
appropriate,ADJ,,[]
symptoms,NOUN,,[]
or,CCONJ,,[]
signs,NOUN,,[]
.,PUNCT,,[]
In,ADP,,[]
successfully,ADV,,[]
treated,VERB,,[]
patients,NOUN,,[]
",",PUNCT,,[]
levels,NOUN,,[]
should,AUX,,[]
be,AUX,,[]
within,ADP,,[]
the,DET,,[]
reference,NOUN,,[]
interval,NOUN,,[]
",",PUNCT,,[]
ideally,ADV,,[]
within,ADP,,[]
the,DET,,[]
lower,ADJ,,[]
third,NOUN,,[]
.,PUNCT,,[]
SERUM,PROPN,,[]
HORMONE,PROPN,,[]
PROFILE,PROPN,,[]
Specimen,PROPN,,[]
Type,PROPN,,[]
:,PUNCT,,[]
Serum,PROPN,,[]
Request,NOUN,,[]
Date,PROPN,,[]
FSH,PROPN,,[]
LH,PROPN,LUZHOR,[]
PROG,PROPN,,[]
E2(ATEL,PROPN,,[]
),PUNCT,,[]
E2(BECK,PROPN,,[]
),PUNCT,,[]
LH,PROPN,LUZHOR,[]
/,SYM,,[]
FSH,PROPN,,[]
Number,NOUN,,[]
Collected,PROPN,,[]
IU,PROPN,,[]
/,SYM,,[]
L,PROPN,,[]
IU,PROPN,,[]
/,SYM,,[]
L,PROPN,,[]
nmol,PROPN,,[]
/,SYM,,[]
L,PROPN,,[]
pmol,PROPN,,[]
/,SYM,,[]
L,PROPN,,[]
pmol,PROPN,,[]
/,SYM,,[]
L,NOUN,,[]
Ratio,NOUN,,[]
26777050,NUM,,[]
18,NUM,,[]
Jan,PROPN,,[]
24,NUM,,[]
<,X,,[]
1,NUM,,[]
<,NUM,,[]
0.1,NUM,,[]
<,X,,[]
1,NUM,,[]
296,NUM,,[]
Reference,NOUN,,[]
Ranges,VERB,,[]
FSH,PROPN,,[]
LH,PROPN,LUZHOR,[]
PROG,PROPN,,[]
E2(ATEL,PROPN,,[]
),PUNCT,,[]
Males,NOUN,,[]
<,X,,[]
60,NUM,,[]
yrs,NOUN,,[]
<,PROPN,,[]
7,NUM,,[]
<,NUM,,[]
7,NUM,,[]
0.9,NUM,,[]
-,SYM,,[]
3.9,NUM,,[]
<,NUM,,[]
150,NUM,,[]
>,X,,[]
60,NUM,,[]
yrs,NOUN,,[]
<,PROPN,,[]
14,NUM,,[]
<,NUM,,[]
11,NUM,,[]
0.9,NUM,,[]
-,SYM,,[]
3.9,NUM,,[]
<,NUM,,[]
150,NUM,,[]
PLEASE,AUX,,[]
NOTE,VERB,,[]
:,PUNCT,,[]
',PUNCT,,[]
E2,PROPN,ESTR2,[]
(,PUNCT,,[]
ATEL,PROPN,,[]
),PUNCT,,[]
',PART,,[]
-,PUNCT,,[]
Oestradiol,PROPN,ESTR2,[]
by,ADP,,[]
Siemens,PROPN,,[]
Atellica,PROPN,,[]
assay,VERB,,[]
',PUNCT,,[]
E2,PROPN,ESTR2,[]
(,PUNCT,,[]
BECK,PROPN,,[]
),PUNCT,,[]
',PART,,[]
-,PUNCT,,[]
Oestradiol,PROPN,ESTR2,[]
by,ADP,,[]
Beckman,PROPN,,[]
Access,PROPN,,[]
assay,VERB,,[]
SURGERY,PROPN,,[]
USE,VERB,,[]
SERUM,VERB,,[]
ANDROGENS,PROPN,,[]
Normal,PROPN,,[]
Total,PROPN,,[]
Testosterone,PROPN,ANDRO,[]
(,PUNCT,,[]
Siemens,PROPN,,[]
),PUNCT,,[]
39.2,NUM,,[]
nmol,NOUN,,[]
/,SYM,,[]
L,PROPN,,[]
(,PUNCT,,[]
8.3,NUM,,[]
-,SYM,,[]
29,NUM,,[]
),PUNCT,,[]
Sex,PROPN,,[]
Hormone,PROPN,,[]
Binding,PROPN,,[]
Globulin,PROPN,,[]
34,NUM,,[]
nmol,PROPN,,[]
