token,pos,Abbreviation,dates
HAEMATOLOGY,NOUN,,[]
15,NUM,,[]
BLOOD,NOUN,,[]
-,PUNCT,,[]
EDTA,PROPN,,[]
Result,PROPN,,[]
Range,PROPN,,[]
Units,NOUN,,[]
ESR,PROPN,,[]
2,NUM,,[]
0,NUM,,[]
-,SYM,,[]
20,NUM,,[]
mm,NOUN,,[]
/,NOUN,,[]
h,NOUN,,[]
@,PUNCT,,[]
FULL,ADJ,,[]
BLOOD,NOUN,,[]
EXAMINATION,NOUN,,[]
HAEMOGLOBIN,NOUN,,[]
122,NUM,,[]
110,NUM,,[]
-,SYM,,[]
150,NUM,,[]
g,NOUN,,[]
/,SYM,,[]
L,PROPN,,[]
a,PROPN,,[]
@,NOUN,,[]
a,PRON,,[]
Erythrocytes,PROPN,RBC,[]
(,PUNCT,,[]
RBCs,PROPN,RBC,[]
),PUNCT,,[]
46,NUM,,[]
42,NUM,,[]
-,SYM,,[]
56,NUM,,[]
i,PRON,,[]
|,NOUN,,[]
e,NOUN,,[]
a,PRON,,[]
Mean,PROPN,,[]
Cell,PROPN,,[]
Volume,PROPN,,[]
102.0*H,PROPN,,[]
78.0,NUM,,[]
-,SYM,,[]
98.0,NUM,,[]
—,PUNCT,,[]
f,X,,[]
a,DET,,[]
di,NOUN,,[]
Mean,PROPN,,[]
Cell,PROPN,,[]
Hb,PROPN,HGB,[]
27.0,NUM,,[]
26.0,NUM,,[]
-,SYM,,[]
34.0,NUM,,[]
pg,NOUN,,[]
a,PRON,,[]
@,NOUN,,[]
a,PRON,,[]
MCHC,PROPN,,[]
29.0*L,NOUN,,[]
31.0,NUM,,[]
-,SYM,,[]
370,NUM,,[]
pol,NOUN,,[]
fe,X,,[]
a,PRON,,[]
Haematocrit,PROPN,,[]
47.0,NUM,,[]
35.0,NUM,,[]
-,SYM,,[]
47.0,NUM,,[]
%,NOUN,,[]
a,PRON,,[]
@,NOUN,,[]
a,PRON,,[]
PLATELETS,INTJ,,[]
338,NUM,,[]
150,NUM,,[]
-,SYM,,[]
450,NUM,,[]
‘,PUNCT,,[]
oro,INTJ,,[]
.,PUNCT,,[]
i,PRON,,[]
e,VERB,,[]
a,PRON,,[]
LEUCOCYTES,NOUN,,[]
(,PUNCT,,[]
WBCs,PROPN,,[]
),PUNCT,,[]
7.3,NUM,,[]
4.0-,NUM,,[]
11.0,NUM,,[]
1049,NUM,,[]
/,SYM,,[]
L,PROPN,,[]
a,PROPN,,[]
@,NOUN,,[]
a,PRON,,[]
Neutrophils,NOUN,NEUT,[]
4.8,NUM,,[]
2.0,NUM,,[]
-,SYM,,[]
7.5,NUM,,[]
1o.o,NUM,,[]
/,SYM,,[]
L,NOUN,,[]
@,ADP,,[]
a,PRON,,[]
Lymphocytes,VERB,,[]
1.8,NUM,,[]
1.0,NUM,,[]
-,SYM,,[]
4.0,NUM,,[]
a,DET,,[]
|,NOUN,,[]
@,ADP,,[]
a,PRON,,[]
Monocytes,VERB,MONO,[]
0.5,NUM,,[]
0.0,NUM,,[]
-,SYM,,[]
1.0,NUM,,[]
1049,NUM,,[]
/,SYM,,[]
L,PROPN,,[]
@,ADP,,[]
pe,VERB,,[]
Eosinophils,NOUN,EOS,[]
0.2,NUM,,[]
0.0,NUM,,[]
-,SYM,,[]
0.6,NUM,,[]
1049,NUM,,[]
/,SYM,,[]
L,PROPN,,[]
e,NOUN,,[]
||,NOUN,,[]
Basophils,PROPN,BASO,[]
0.1,NUM,,[]
0.0,NUM,,[]
-,SYM,,[]
0.2,NUM,,[]
1049,NUM,,[]
/,SYM,,[]
L,PROPN,,[]
@,ADP,,[]
p,X,,[]
RDW,PROPN,,[]
15.6*H,NUM,,[]
11.0-,NUM,,[]
15.5,NUM,,[]
percent,NOUN,,[]
[,X,,[]
ij,X,,[]
e,NOUN,,[]
Film,PROPN,,[]
Comment,PROPN,,[]
Test,AUX,,[]
performed,VERB,,[]
by,ADP,,[]
accredited,VERB,,[]
laboratory,NOUN,,[]
NATA,PROPN,,[]
:,PUNCT,,[]
BLOOD,NOUN,,[]
-,PUNCT,,[]
SERUM,PROPN,,[]
Result,PROPN,,[]
Range,PROPN,,[]
Units,NOUN,,[]
UEC,PROPN,,[]
(,PUNCT,,[]
Renal,PROPN,,[]
),PUNCT,,[]
SODIUM,PROPN,,[]
138,NUM,,[]
135,NUM,,[]
-,SYM,,[]
145,NUM,,[]
mmol,PROPN,,[]
/,SYM,,[]
L,PROPN,,[]
e@,PROPN,,[]
a,PRON,,[]
POTASSIUM,PROPN,,[]
4.5,NUM,,[]
3.5,NUM,,[]
-,SYM,,[]
5.2,NUM,,[]
mmol,PROPN,,[]
/,SYM,,[]
L,PROPN,,[]
e,NOUN,,[]
a,PRON,,[]
CHLORIDE,PROPN,,[]
102,NUM,,[]
95,NUM,,[]
-,SYM,,[]
110,NUM,,[]
mmol,PROPN,,[]
/,SYM,,[]
L,PROPN,,[]
e,NOUN,,[]
a,PRON,,[]
BICARBONATE,PROPN,,[]
24,NUM,,[]
20,NUM,,[]
-,SYM,,[]
32,NUM,,[]
mmol,PROPN,,[]
/,SYM,,[]
L,PROPN,,[]
e,NOUN,,[]
a,PRON,,[]
Anion,NOUN,,[]
Gap,PROPN,,[]
16,NUM,,[]
8,NUM,,[]
-,SYM,,[]
16,NUM,,[]
mmol,PROPN,,[]
/,SYM,,[]
L,PROPN,,[]
e,NOUN,,[]
a,PRON,,[]
UREA,PROPN,,[]
3.7,NUM,,[]
2.5,NUM,,[]
-,SYM,,[]
