token,pos,Abbreviation,dates
02/04/2019,NUM,,"[datetime.datetime(2019, 4, 2, 0, 0)]"
;,PUNCT,,[]
Coll,PROPN,,[]
.,PUNCT,,[]
Time,NOUN,,[]
:,PUNCT,,[]
17:30,NUM,,[]
Request,PROPN,,[]
No,NOUN,,[]
:,SYM,,[]
4499603,NUM,,[]
Ref,PROPN,,[]
.,PUNCT,,[]
Range,NOUN,,[]
Units,NOUN,,[]
Amylase,NOUN,AMY,[]
75,NUM,,[]
(,PUNCT,,[]
25,NUM,,[]
-,SYM,,[]
120,NUM,,[]
),PUNCT,,[]
U,PROPN,,[]
/,SYM,,[]
L,NOUN,,[]
Lipase,NOUN,,[]
203,NUM,,[]
(,PUNCT,,[]
70,NUM,,[]
-,SYM,,[]
390,NUM,,[]
),PUNCT,,[]
U,PROPN,,[]
/,SYM,,[]
L,NOUN,,[]
Amylase,NOUN,AMY,[]
test,NOUN,,[]
performed,VERB,,[]
on,ADP,,[]
Siemens,PROPN,,[]
Advia,PROPN,,[]
/,SYM,,[]
Attelica,PROPN,,[]
analyser,NOUN,,[]
Lipase,NOUN,,[]
test,NOUN,,[]
performed,VERB,,[]
on,ADP,,[]
Siemens,PROPN,,[]
Dimension,PROPN,,[]
analyser,NOUN,,[]
LFT,PROPN,,[]
-,PUNCT,,[]
R,PROPN,,[]
",",PUNCT,,[]
ECU,NOUN,,[]
-,PUNCT,,[]
R,PROPN,,[]
",",PUNCT,,[]
FBE,NOUN,,[]
-,PUNCT,,[]
R,NOUN,,[]
",",PUNCT,,[]
UMC,PROPN,,[]
-,PUNCT,,[]
R,PROPN,,[]
",",PUNCT,,[]
LSE,NOUN,,[]
-,PUNCT,,[]
R,PROPN,,[]
",",PUNCT,,[]
AML,PROPN,,[]
-,PUNCT,,[]
R,NOUN,,[]
CC,NOUN,,[]
Drs,PROPN,,[]
:,PUNCT,,[]
WEGMAN,PROPN,,[]
.,PUNCT,,[]
Page,NOUN,,[]
:,PUNCT,,[]
2,NUM,,[]
of,ADP,,[]
3,NUM,,[]
MS,PROPN,,[]
HARLOT,PROPN,,[]
AMYLASE,PROPN,,[]
RUM,PROPN,,[]
All,DET,,[]
Tests,PROPN,,[]
Complete,ADJ,,[]
_,PUNCT,,[]
—,PUNCT,,[]
-,PUNCT,,[]
_,NOUN,,[]
—,PUNCT,,[]
_,NOUN,,[]
—,PUNCT,,[]
.,PUNCT,,[]
ee,PROPN,,[]
a,X,,[]
—,PUNCT,,[]
),PUNCT,,[]
",",PUNCT,,[]
o~,NUM,,[]
a,PRON,,[]
7,NUM,,[]
es,ADP,,[]
AUSTRALIAN,ADJ,,[]
LABORATORY,PROPN,,[]
3427,NUM,,[]
-,SYM,,[]
18703,NUM,,[]
Referred,VERB,,[]
:,PUNCT,,[]
02/04/19,PUNCT,,[]
removed,VERB,,[]
removed,VERB,,[]
removed,VERB,,[]
15:55,NUM,,[]
removed,VERB,,[]
removed,VERB,,[]
\,PROPN,,[]
removed,VERB,,[]
2022,NUM,,[]
Ph,PROPN,,[]
:,PUNCT,,[]
 ,SPACE,,[]
Sex,NOUN,,[]
:,PUNCT,,[]
Female,NOUN,,[]
Clinical,ADJ,,[]
Notes,NOUN,,[]
:,PUNCT,,[]
MICROBIOLOGY,VERB,,[]
SPECIMEN,PROPN,,[]
:,PUNCT,,[]
Mid,PROPN,,[]
Stream,PROPN,,[]
Urine,PROPN,,[]
+,CCONJ,,[]
CHEMISTRY,PROPN,,[]
-,PUNCT,,[]
PH,PROPN,,[]
:,PUNCT,,[]
7.0,NUM,,[]
Protein,NOUN,,[]
:,PUNCT,,[]
Nil,PROPN,,[]
Glucose,PROPN,,[]
:,PUNCT,,[]
Nil,PROPN,,[]
Blood,NOUN,,[]
:,PUNCT,,[]
Nil,PROPN,,[]
.,PUNCT,,[]
MICROSCOPY,PROPN,,[]
=,ADJ,,[]
*,PUNCT,,[]
Leucocytes,PROPN,,[]
75,NUM,,[]
x,SYM,,[]
10,NUM,,[]
°,NOUN,,[]
/L,PUNCT,,[]
(,PUNCT,,[]
<,X,,[]
10,NUM,,[]
),PUNCT,,[]
Erythrocytes,NOUN,RBC,[]
<,X,,[]
10,NUM,,[]
x,SYM,,[]
10,NUM,,[]
°,NOUN,,[]
/L,PUNCT,,[]
(,PUNCT,,[]
<,X,,[]
10,NUM,,[]
),PUNCT,,[]
<,X,,[]
Epithelial,PROPN,,[]
Cells,PROPN,,[]
+,PUNCT,,[]
+,NOUN,,[]
a,DET,,[]
CULTURE,NOUN,,[]
No,DET,,[]
significant,ADJ,,[]
growth,NOUN,,[]
.,PUNCT,,[]
om,ADV,,[]
>,PUNCT,,[]
@,PUNCT,,[]
@,PUNCT,,[]
|,NOUN,,[]
2,NUM,,[]
e,NOUN,,[]
LFT,PROPN,,[]
-,PUNCT,,[]
R,PROPN,,[]
",",PUNCT,,[]
ECU,NOUN,,[]
-,PUNCT,,[]
R,PROPN,,[]
",",PUNCT,,[]
FBE,NOUN,,[]
-,PUNCT,,[]
R,NOUN,,[]
",",PUNCT,,[]
UMC,PROPN,,[]
-,PUNCT,,[]
R,PROPN,,[]
",",PUNCT,,[]
LSE,NOUN,,[]
-,PUNCT,,[]
R,PROPN,,[]
",",PUNCT,,[]
AML,PROPN,,[]
-,PUNCT,,[]
R,NOUN,,[]
P,NOUN,P5+,[]
CC,NOUN,,[]
Drs,PROPN,,[]
:,PUNCT,,[]
WEGMAN,PROPN,,[]
.,PUNCT,,[]
Page,NOUN,,[]
:,PUNCT,,[]
3,NUM,,[]
of,ADP,,[]
3,NUM,,[]
Mi,NOUN,,[]
TAP,PROPN,,[]
LOT,PROPN,,[]
AMYLASE,NOUN,,[]
",",PUNCT,,[]
SE,PROPN,,[]
All,DET,,[]
Tests,PROPN,,[]
Complete,VERB,,[]
“,PUNCT,,[]
ut,ADJ,,[]
emnrn,NOUN,,[]
to,AUX,,[]
gem,NOUN,,[]
87,NUM,,[]
“,PUNCT,,[]
a,DET,,[]
wa,NOUN,,[]
a,NOUN,,[]
",",PUNCT,,[]
al,PROPN,,[]
a,PROPN,,[]
ee,PROPN,,[]
",",PUNCT,,[]
a,DET,,[]
ae,PROPN,,[]
te,PROPN,,[]
rT,PROPN,,[]
ane,NOUN,,[]
[,X,,[]
il,PROPN,,[]
ante,VERB,,[]
oe,ADP,,[]
a,PROPN,,[]
",",PUNCT,,[]
ee,PROPN,,[]
a,PRON,,[]
ie,X,,[]
a,DET,,[]
“,PUNCT,,[]
Pr,PROPN,,[]
OMA,PROPN,,[]
ot,PROPN,,[]
Wa,PROPN,,[]
},PUNCT,,[]
i,PRON,,[]
;,PUNCT,,[]
on,ADP,,[]
ie,ADP,,[]
AUSTRALIAN,ADJ,,[]
LABORATORY,PROPN,,[]
3427,NUM,,[]
-,SYM,,[]
3420,NUM,,[]
Referred,VERB,,[]
:,PUNCT,,[]
27/03/19,NUM,,[]
@Clinicalabs,PROPN,,[]
wav,NOUN,,[]
PT,PROPN,,[]
Oa,PROPN,,[]
:,PUNCT,,[]
Byes,NOUN,,[]
Tel:1300,NOUN,,[]
134,NUM,,[]
111,NUM,,[]
Printed,PROPN,,[]
:,PUNCT,,[]
04/04/19,X,,[]
15:57,NUM,,[]
Batch,NOUN,,[]
