token,pos,Abbreviation,dates
29,NUM,,[]
APR,PROPN,,[]
MRN,NOUN,,[]
:,PUNCT,,[]
Name,NOUN,,[]
:,PUNCT,,[]
Ph,PROPN,,[]
:,PUNCT,,[]
Age,NOUN,,[]
:,PUNCT,,[]
64,NUM,,[]
+,NUM,,[]
Yrs,PROPN,,[]
DOB,PROPN,,[]
:,PUNCT,,[]
 ,SPACE,,[]
Sex,NOUN,,[]
:,PUNCT,,[]
Male,NOUN,,[]
Notes,NOUN,,[]
:,PUNCT,,[]
?,PUNCT,,[]
ANAEMIC,PROPN,,[]
(,PUNCT,,[]
CHEMISTRY,PROPN,,[]
~,PUNCT,,[]
Result,VERB,,[]
PLEVicus,PROPN,,[]
resuits,VERB,,[]
Fox,PROPN,,[]
",",PUNCT,,[]
comparison,NOUN,,[]
omy,NOUN,,[]
Date,NOUN,,[]
:,PUNCT,,[]
26/94/19,NUM,,[]
noe,NUM,,[]
ference,NOUN,,[]
Time,NOUN,,[]
:,PUNCT,,[]
15:40,NUM,,[]
V£or,NOUN,,[]
this,PRON,,[]
Request,PROPN,,[]
No,PROPN,,[]
.,PUNCT,,[]
:,PUNCT,,[]
 ,SPACE,,[]
Units,NOUN,,[]
collecrion,NOUN,,[]
),PUNCT,,[]
Electrolytes,NOUN,,[]
(,PUNCT,,[]
serum,NOUN,,[]
/,SYM,,[]
plasma,NOUN,,[]
),PUNCT,,[]
Sodium,PROPN,Na+,[]
142,NUM,,[]
mmol,PROPN,,[]
/,SYM,,[]
L,PROPN,,[]
[,X,,[]
185,NUM,,[]
-,SYM,,[]
145,NUM,,[]
],PUNCT,,[]
Potassium,NOUN,K+,[]
4.0,NUM,,[]
mmol,PROPN,,[]
/,SYM,,[]
L,PROPN,,[]
(,PUNCT,,[]
2.5,NUM,,[]
-,SYM,,[]
5.2,NUM,,[]
],PUNCT,,[]
Chloride,PROPN,,[]
106,NUM,,[]
mmol,PROPN,,[]
/,SYM,,[]
L,PROPN,,[]
[,X,,[]
95,NUM,,[]
-,SYM,,[]
110,NUM,,[]
],PUNCT,,[]
Bicarbonate,VERB,CO2,[]
28,NUM,,[]
mmol,PROPN,,[]
/,SYM,,[]
L,PROPN,,[]
[,X,,[]
22,NUM,,[]
-,SYM,,[]
32,NUM,,[]
],PUNCT,,[]
Urea,PROPN,UREA,[]
4.1,NUM,,[]
mmol,PROPN,,[]
/,SYM,,[]
L,PROPN,,[]
[,X,,[]
4.0,NUM,,[]
-,SYM,,[]
9.0,NUM,,[]
],PUNCT,,[]
Creatinine,NOUN,CREAN,[]
89,NUM,,[]
umol,NOUN,,[]
/,SYM,,[]
L,PROPN,,[]
[,X,,[]
60,NUM,,[]
-,SYM,,[]
110,NUM,,[]
],PUNCT,,[]
eGFR,PROPN,EGFR,[]
79,NUM,,[]
mL,SYM,,[]
/,SYM,,[]
mn/1.73m2[>60,PROPN,,[]
],PUNCT,,[]
Uric,ADJ,,[]
acid,NOUN,,[]
0.44,NUM,,[]
mmol,PROPN,,[]
/,SYM,,[]
L,PROPN,,[]
[,X,,[]
0.25,NUM,,[]
-,SYM,,[]
0.50,NUM,,[]
],PUNCT,,[]
Calcium,NOUN,,[]
2.40,NUM,,[]
mmol,PROPN,,[]
/,SYM,,[]
L,PROPN,,[]
[,PUNCT,,[]
2.10,NUM,,[]
-,SYM,,[]
2.60,NUM,,[]
],PUNCT,,[]
Calcium,PROPN,,[]
(,PUNCT,,[]
corr,PROPN,,[]
.,PUNCT,,[]
Alb,ADV,,[]
),PUNCT,,[]
2.40,NUM,,[]
mmol,NOUN,,[]
/,SYM,,[]
L,PROPN,,[]
[,PUNCT,,[]
2.10,NUM,,[]
-,SYM,,[]
2.60,NUM,,[]
],PUNCT,,[]
Magnesium,PROPN,,[]
0.81,NUM,,[]
mmol,PROPN,,[]
/,SYM,,[]
L,PROPN,,[]
[,X,,[]
0.70,NUM,,[]
-,PUNCT,,[]
1.10,NUM,,[]
],PUNCT,,[]
Inorganic,ADJ,,[]
Phosphate,PROPN,P5+,[]
1.12,NUM,,[]
mmol,PROPN,,[]
/,SYM,,[]
L,PROPN,,[]
[,X,,[]
0.70,NUM,,[]
-,SYM,,[]
1.50,NUM,,[]
],PUNCT,,[]
eGFR,NUM,EGFR,[]
comment,NOUN,,[]
gfrmild,NOUN,,[]
Range,NOUN,,[]
Comment,PROPN,,[]
COM1,NOUN,,[]
Comments,NOUN,,[]
:,PUNCT,,[]
(,PUNCT,,[]
