token,pos,Abbreviation,dates
Peghy,NOUN,,[]
«,PUNCT,,[]
Ao,PROPN,,[]
¢4,NOUN,,[]
AG,PROPN,,[]
+48,VERB,,[]
|,NOUN,,[]
38,NUM,,[]
—,PUNCT,,[]
>,X,,[]
CLINICAL,PROPN,,[]
LABORATORIE,PROPN,,[]
Page,PROPN,,[]
HH1,PROPN,,[]
lj,INTJ,,[]
*,PUNCT,,[]
I,PRON,I2,[]
",",PUNCT,,[]
mMnica,PROPN,,[]
LABORATORY,PROPN,,[]
3427,NUM,,[]
-,SYM,,[]
3420,NUM,,[]
Referred,VERB,,[]
:,PUNCT,,[]
02/02/24,PUNCT,,[]
Clinical,ADJ,,[]
Notes,PROPN,,[]
:,PUNCT,,[]
diabtetic,ADJ,,[]
urticaria,PROPN,,[]
HAEMATOLOGY,PROPN,,[]
SPECIMEN,PROPN,,[]
:,PUNCT,,[]
WHOLE,NOUN,,[]
BLOOD,NOUN,,[]
Date,NOUN,,[]
:,PUNCT,,[]
05/02/24,PUNCT,,[]
07/12/22,INTJ,,[]
10/06/21,PROPN,,[]
(,PUNCT,,[]
#,X,,[]
Refers,NOUN,,[]
to,PART,,[]
current,VERB,,[]
Coll,PROPN,,[]
.,PUNCT,,[]
Time,NOUN,,[]
:,PUNCT,,[]
08:45,NUM,,[]
08:30,NUM,,[]
09:00,NUM,,[]
result,NOUN,,[]
only,ADV,,[]
),PUNCT,,[]
Lab,NOUN,,[]
Number,NOUN,,[]
:,PUNCT,,[]
HAEMOGLOEIN,VERB,,[]
138,NUM,,[]
133,NUM,,[]
126,NUM,,[]
(,PUNCT,,[]
115,NUM,,[]
-,PUNCT,,[]
165,NUM,,[]
),PUNCT,,[]
g,PROPN,,[]
/,SYM,,[]
L,NOUN,,[]
RBC,PROPN,,[]
5.02,NUM,,[]
4.77,NUM,,[]
4.48,NUM,,[]
(,PUNCT,,[]
3.80,NUM,,[]
-,PUNCT,,[]
5.50)x10l4,NUM,,[]
/,SYM,,[]
L,NOUN,,[]
HCT,PROPN,,[]
QO.45,X,,[]
0.43,NUM,,[]
O.41,PROPN,,[]
(,PUNCT,,[]
0.35,NUM,,[]
-,SYM,,[]
0.47,NUM,,[]
),PUNCT,,[]
MCV,VERB,,[]
90,NUM,,[]
91,NUM,,[]
91,NUM,,[]
(,PUNCT,,[]
80,NUM,,[]
-,SYM,,[]
99,NUM,,[]
),PUNCT,,[]
CL,NOUN,,[]
MCH,PROPN,MCHC,[]
27.5,NUM,,[]
27.9,NUM,,[]
28.1,NUM,,[]
(,PUNCT,,[]
27.0,NUM,,[]
-,PUNCT,,[]
34.0)pgq,NUM,,[]
MCHC,PROPN,,[]
*,PROPN,,[]
305,NUM,,[]
*,PUNCT,,[]
306,NUM,,[]
*,SYM,,[]
309,NUM,,[]
(,PUNCT,,[]
310,NUM,,[]
-,SYM,,[]
360,NUM,,[]
),PUNCT,,[]
g,PROPN,,[]
/,SYM,,[]
L,NOUN,,[]
RDW,PROPN,,[]
14.1,NUM,,[]
12.8,NUM,,[]
12.9,NUM,,[]
(,PUNCT,,[]
11.0,NUM,,[]
-,PUNCT,,[]
15.0)%,NUM,,[]
wee,VERB,,[]
6.8,NUM,,[]
7.4,NUM,,[]
6.5,NUM,,[]
(,PUNCT,,[]
4.0,NUM,,[]
-,SYM,,[]
11.0,NUM,,[]
},PUNCT,,[]
x107,PROPN,,[]
/,SYM,,[]
L,PROPN,,[]
Neutrophils,NOUN,NEUT,[]
2.4,NUM,,[]
3.8,NUM,,[]
2.7,NUM,,[]
(,PUNCT,,[]
2.0,NUM,,[]
-,SYM,,[]
8.0,NUM,,[]
),PUNCT,,[]
x“107,PROPN,,[]
/,SYM,,[]
L,PROPN,,[]
Lymphocytea,PROPN,,[]
3.6,NUM,,[]
3.0,NUM,,[]
3.0,NUM,,[]
(,PUNCT,,[]
1.0,NUM,,[]
-,SYM,,[]
4.0,NUM,,[]
),PUNCT,,[]
x107,PROPN,,[]
/,SYM,,[]
L,PROPN,,[]
Monocytea,PROPN,,[]
0.5,NUM,,[]
0.4,NUM,,[]
0.4,NUM,,[]
(,PUNCT,,[]
<,X,,[]
1.1,NUM,,[]
),PUNCT,,[]
x107,PROPN,,[]
/,SYM,,[]
L,PROPN,,[]
Eosinophils,NOUN,EOS,[]
0.3,NUM,,[]
O.1,NOUN,,[]
0.3,NUM,,[]
(,PUNCT,,[]
«,X,,[]
0.7,NUM,,[]
),PUNCT,,[]
x107,PROPN,,[]
/,SYM,,[]
L,PROPN,,[]
Basophils,PROPN,BASO,[]
<,X,,[]
0.1,NUM,,[]
0.0,NUM,,[]
<,X,,[]
0.1,NUM,,[]
(,PUNCT,,[]
fe,X,,[]
0.3,NUM,,[]
),PUNCT,,[]
*,PUNCT,,[]
x107,PROPN,,[]
/,SYM,,[]
L,PROPN,,[]
PLATELETS,PROPN,,[]
308,NUM,,[]
336,NUM,,[]
200,NUM,,[]
(,PUNCT,,[]
150,NUM,,[]
-,SYM,,[]
450,NUM,,[]
),PUNCT,,[]
x107,PROPN,,[]
/,SYM,,[]
L,PROPN,,[]
ESR,PROPN,,[]
5,NUM,,[]
13,NUM,,[]
(,PUNCT,,[]
<,X,,[]
21,NUM,,[]
),PUNCT,,[]
mm,NOUN,,[]
/h,PUNCT,,[]
#,SYM,,[]
86820229,NUM,,[]
:,PUNCT,,[]
Persistent,ADJ,,[]
red,ADJ,,[]
cell,NOUN,,[]
hypochromia,NOUN,,[]
.,PUNCT,,[]
Serum,PROPN,,[]
ferritin,NOUN,,[]
is,AUX,,[]
pending,VERB,,[]
.,PUNCT,,[]
I,PRON,I2,[]
1ron,PROPN,,[]
atores,NOUN,,[]
are,AUX,,[]
normal,ADJ,,[]
consider,VERB,,[]
thalasdaemia,NOUN,,[]
screen,NOUN,,[]
.,PUNCT,,[]
ESR,PROPN,,[]
is,AUX,,[]
normal,ADJ,,[]
.,PUNCT,,[]
CRP,PROPN,,[]
-,PUNCT,,[]
R,PROPN,,[]
",",PUNCT,,[]
GLS,PROPN,,[]
-,PUNCT,,[]
R,PROPN,,[]
",",PUNCT,,[]
GHB,PROPN,,[]
-,PUNCT,,[]
R,NOUN,,[]
",",PUNCT,,[]
OHD,NOUN,,[]
-,PUNCT,,[]
R,PROPN,,[]
",",PUNCT,,[]
RAS,PROPN,,[]
-,PUNCT,,[]
W,PROPN,,[]
",",PUNCT,,[]
B12,PROPN,vitB12,[]
-,PUNCT,,[]
R,PROPN,,[]
",",PUNCT,,[]
ESR,PROPN,,[]
-,PUNCT,,[]
R,PROPN,,[]
",",PUNCT,,[]
FBE,NOUN,,[]
-,PUNCT,,[]
"R,1I5",NOUN,,[]
-,PUNCT,,[]
R,NOUN,,[]
",",PUNCT,,[]
LIP,PROPN,,[]
-,PUNCT,,[]
R,PROPN,,[]
",",PUNCT,,[]
ECU,NOUN,,[]
-,PUNCT,,[]
R,PROPN,,[]
",",PUNCT,,[]
LET-+4++4,PROPN,,[]
+,ADP,,[]
Page,NOUN,,[]
:,PUNCT,,[]
1,NUM,,[]
of,ADP,,[]
7,NUM,,[]
REMOVED,PROPN,,[]
Peghy,NOUN,,[]
«,PUNCT,,[]
Ao,PROPN,,[]
¢4,NOUN,,[]
AG,PROPN,,[]
+48,VERB,,[]
52,NUM,,[]
—,PUNCT,,[]
>,X,,[]
CLINICAL,PROPN,,[]
LABORATORIE,PROPN,,[]
Page,PROPN,,[]
HHZ,PROPN,,[]
lj,INTJ,,[]
*,PUNCT,,[]
I,PRON,I2,[]
",",PUNCT,,[]
mMnica,PROPN,,[]
LABORATORY,PROPN,,[]
3427,NUM,,[]
-,SYM,,[]
3420,NUM,,[]
Referred,VERB,,[]
:,PUNCT,,[]
02/02/24,PUNCT,,[]
Clinical,ADJ,,[]
